Event,WindowStart_s,WindowEnd_s,MeanVdc_V,StdVdc_V,MinVdc_V,MaxVdc_V
pre_ac_step,0.3,0.45,1208.68599054047,0.724065301920579,1207.00092208415,1210.51554871255
post_ac_step,0.7,0.9,1199.70936281019,1.75276317738759,1194.89679006806,1204.43516377146
post_dc_0p6MW,1.12,1.2,1199.25175170289,2.34199034893105,1192.7388125862,1204.77217858939
post_grid_connect,1.7,1.75,1195.20607528204,3.39685234880725,1184.80246241558,1204.37075263606
high_irradiance_grid_tied,2.2,2.4,1199.25439287508,8.16449500986032,1172.43551080762,1219.01870011108
post_dc_1MW_on,2.58,2.7,1199.84079942642,2.62563350857723,1194.34520025213,1206.65345748559
post_dc_1MW_off,3.1,3.2,1189.6034196601,7.5929226520303,1164.40371975583,1210.14985501256
post_grid_voltage_dip,3.75,3.9,1197.88652768525,2.01313578367276,1192.89411400725,1203.1858465878
