Event,WindowStart_s,WindowEnd_s,MeanVdc_V,StdVdc_V,MinVdc_V,MaxVdc_V
pre_ac_step,0.3,0.45,1208.68599054047,0.724065301920579,1207.00092208415,1210.51554871255
post_ac_step,0.7,0.9,1199.70936281019,1.75276317738759,1194.89679006806,1204.43516377146
post_dc_0p6MW,1.12,1.2,1199.18077010405,2.41629439518676,1192.71154694846,1205.07261230989
post_grid_connect,1.7,1.75,1199.22610584417,2.78471625840907,1193.61086270964,1205.25821897807
high_irradiance_grid_tied,2.2,2.4,1199.97701137372,9.81736211558274,1164.22903772067,1226.05732212706
post_dc_1MW_on,2.58,2.7,1199.88481033312,2.64413817996129,1194.35090197372,1207.15303455378
post_dc_1MW_off,3.1,3.2,1197.47485305555,6.91064537069197,1174.40565449587,1213.20500539398
post_grid_voltage_dip,3.75,3.9,1199.63856083222,1.95126208749614,1195.27155988855,1204.59098035997
