Event,WindowStart_s,WindowEnd_s,MeanVdc_V,StdVdc_V,MinVdc_V,MaxVdc_V
pre_ac_step,0.3,0.45,1208.59737888176,0.7397185217638,1206.65297326977,1210.90138831897
post_ac_step,0.7,0.9,1199.7666379869,4.41667530536816,1190.84855201174,1208.56993009028
post_dc_0p6MW,1.12,1.2,1198.8954833987,2.60654481599544,1192.78597189941,1205.01571598912
post_grid_connect,1.7,1.75,1410.86416914564,17.5500465775535,1391.74592553251,1445.59796593215
high_irradiance_grid_tied,2.2,2.4,1756.75021901766,18.6185035546861,1714.87758245566,1781.54051281509
post_dc_1MW_on,2.58,2.7,1105.52401826039,12.4462199250723,1080.97286102214,1127.75543940567
post_dc_1MW_off,3.1,3.2,1613.16306487063,12.2438667478134,1590.95288835289,1633.3646692119
post_grid_voltage_dip,3.75,3.9,1509.53902815392,24.0375071321293,1463.19909407862,1549.0000265206
