Bandwidth_Hz,Kp_W_per_V,Ki_W_per_Vs,VdcMin_V,VdcMax_V,Recovery_s,SteadyMean_V,SteadyStd_V,PreEventStd_V,Pdc2Mean_W,Pdc2Error_percent,GridLimitDuration_s,PrefMin_W,PrefMax_W,AllFinite
20,3838.65085856883,341093.528101648,870.354042419725,1247.04596062637,0.0459199999999997,1199.93509555802,2.78933741105289,8.66661234416241,1000123.3754119,0.0123375411895802,0,-814516.901097626,1886017.97769056,1
30,5757.97628785324,767460.438228708,990.241865481473,1225.00032830942,0.0286399999999998,1199.81159833445,2.81716255725003,8.34457199465818,1000042.76066079,0.00427606607879279,0,-490039.18451305,1935312.36007111,1
40,7677.30171713766,1364374.11240659,1046.65635157829,1212.97642990924,0.0145599999999999,1199.82251754575,2.72085726558197,8.86811236336306,1000061.04597883,0.0061045978830778,0,-499968.168407756,1963341.90892771,1
50,9596.62714642207,2131834.5506353,1077.63942760886,1207.27403854931,0.0107199999999996,1199.89358224729,2.64969728733157,10.0356432947531,1000071.86333594,0.00718633359419182,0,-534859.087121631,2029601.55175882,1
