Event,WindowStart_s,WindowEnd_s,MeanVdc_V,StdVdc_V,MinVdc_V,MaxVdc_V
pre_ac_step,0.3,0.45,1208.68599054047,0.724065301920579,1207.00092208415,1210.51554871255
post_ac_step,0.7,0.9,1199.70936281019,1.75276317738759,1194.89679006806,1204.43516377146
post_dc_0p6MW,1.12,1.2,1199.18077010405,2.41629439518676,1192.71154694846,1205.07261230989
post_grid_connect,1.7,1.75,1199.28343452957,5.15460749449274,1190.93110485982,1212.31260688453
high_irradiance_grid_tied,2.2,2.4,1199.00040503264,8.66661234416241,1170.15750456465,1219.9858292413
post_dc_1MW_on,2.58,2.7,1199.93509555802,2.78933741105289,1193.80151093329,1205.83510843513
post_dc_1MW_off,3.1,3.2,1189.24749592435,10.8350195751496,1161.6374800132,1216.65311379091
post_grid_voltage_dip,3.75,3.9,1197.91339403346,1.98734033418287,1193.51826070812,1203.32453581214
