Event,WindowStart_s,WindowEnd_s,MeanVdc_V,StdVdc_V,MinVdc_V,MaxVdc_V
pre_ac_step,0.3,0.45,1192.83937496975,8.39722821793012,1184.23437901615,1210.97151305043
post_ac_step,0.7,0.9,1199.62005917883,2.81152929902512,1191.50231659894,1206.41511001526
post_dc_0p6MW,1.12,1.2,1198.64595603492,3.26442417239243,1190.5042495925,1206.38952095782
post_grid_connect,1.7,1.75,1195.07684779845,3.39340284080551,1185.28835391141,1202.83878364319
high_irradiance_grid_tied,2.2,2.4,1199.96715866204,8.71347919106078,1168.48634115723,1220.03717519742
post_dc_1MW_on,2.58,2.7,1199.64139467775,2.52832457838108,1194.56361645659,1204.99614587954
post_dc_1MW_off,3.1,3.2,1190.09274912307,7.19843836137011,1167.78127688531,1213.74477845631
post_grid_voltage_dip,3.75,3.9,1197.84921886576,1.91572387136226,1191.86226963906,1203.12641258334
